brand,model_name,ram_gb,storage_gb,screen_size_inch,has_5g,main_camera_mp,price_vnd,product_url,collected_at
Samsung,Samsung Galaxy Z Fold8 5G 16GB,16.0,1024.0,8.0,1.0,50.0,61990000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-z-fold8-16gb,2026-08-07T14:42:28.582663
Xiaomi,Xiaomi 17 Ultra 5G 16GB,16.0,1024.0,6.9,1.0,50.0,35990000,https://fptshop.com.vn/dien-thoai/xiaomi-17-ultra-5g-16gb?sku=00925849,2026-08-07T14:42:31.413371
Tecno,Tecno Spark Go 3 4GB,4.0,64.0,6.7,0.0,8.0,2990000,https://fptshop.com.vn/dien-thoai/tecno-spark-go-3?sku=00927604,2026-08-07T14:42:40.161230
Nubia,Nubia Neo 5 5G 8GB,8.0,128.0,6.8,1.0,50.0,6990000,https://fptshop.com.vn/dien-thoai/nubia-neo-5,2026-08-07T14:42:42.268148
Samsung,Samsung Galaxy A07,4.0,128.0,6.7,,50.0,3990000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a07,2026-08-07T14:42:48.453212
Samsung,Samsung Galaxy Z Flip8 5G 12GB,12.0,256.0,6.9,1.0,50.0,31990000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-z-flip8,2026-08-07T14:42:51.363939
Xiaomi,Xiaomi Poco F8 Pro 5G 12GB,12.0,256.0,6.59,1.0,,15990000,https://fptshop.com.vn/dien-thoai/xiaomi-poco-f8-pro,2026-08-07T14:42:56.451445
Apple,iPhone 15,,128.0,6.1,,,17990000,https://fptshop.com.vn/dien-thoai/iphone-15?sku=00904214,2026-08-07T14:43:00.907988
Oppo,OPPO Reno16 F 5G 8GB,8.0,256.0,6.57,1.0,50.0,15990000,https://fptshop.com.vn/dien-thoai/oppo-reno16-f,2026-08-07T14:43:26.236123
Samsung,Samsung Galaxy Z Fold8 Ultra 5G 16GB,16.0,1024.0,8.0,1.0,50.0,67990000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-z-fold8-ultra-16gb,2026-08-07T14:43:28.866996
Samsung,Samsung Galaxy S25 Edge 5G,12.0,256.0,6.7,1.0,200.0,20450000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s25-edge,2026-08-07T14:43:36.830762
Apple,iPhone 17e,,256.0,6.1,,,17490000,https://fptshop.com.vn/dien-thoai/iphone-17e,2026-08-07T14:43:39.617023
Apple,iPhone 16e,,512.0,6.1,,,19990000,https://fptshop.com.vn/dien-thoai/iphone-16e?sku=00916025,2026-08-07T14:43:43.027744
Oppo,OPPO A6 Pro 8GB,8.0,128.0,6.57,,50.0,8290000,https://fptshop.com.vn/dien-thoai/oppo-a6-pro,2026-08-07T14:43:45.489835
Xiaomi,Xiaomi Poco M8 Pro 5G 12GB,12.0,512.0,6.83,1.0,50.0,10990000,https://fptshop.com.vn/dien-thoai/xiaomi-poco-m8-pro?sku=00925509,2026-08-07T14:43:54.329153
Samsung,Samsung Galaxy Z Flip7 5G,12.0,512.0,6.9,1.0,50.0,26990000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-z-flip7?sku=00919892,2026-08-07T14:44:05.933663
Xiaomi,Xiaomi Redmi Note 15 Pro 12GB,12.0,256.0,6.77,,,9290000,https://fptshop.com.vn/dien-thoai/xiaomi-redmi-note-15-pro,2026-08-07T14:44:11.396069
Tecno,Tecno Spark 40C 8GB,8.0,256.0,6.67,,13.0,3490000,https://fptshop.com.vn/dien-thoai/tecno-spark-40c?sku=00921120,2026-08-07T14:44:17.647676
Oppo,OPPO Reno14 5G 12GB,12.0,256.0,6.59,1.0,50.0,15200000,https://fptshop.com.vn/dien-thoai/oppo-reno14,2026-08-07T14:44:20.576388
Apple,iPhone 16,8.0,512.0,6.1,,,27490000,https://fptshop.com.vn/dien-thoai/iphone-16-512gb?sku=00911201,2026-08-07T14:44:54.344224
Samsung,Samsung Galaxy Z Flip7 5G,12.0,256.0,6.9,1.0,50.0,22990000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-z-flip7,2026-08-07T14:44:57.208464
Apple,iPhone 17 Pro,12.0,1024.0,6.3,,,43990000,https://fptshop.com.vn/dien-thoai/iphone-17-pro-1tb,2026-08-07T14:45:16.265811
Samsung,Samsung Galaxy A57 5G 8GB,8.0,128.0,6.7,1.0,50.0,11490000,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a57,2026-08-07T14:45:21.543243
